Control operativo · pruebas de artifacts públicos																														
Checklist completo para ejecutar artifacts públicos antes de diseñar los artifacts custom P4–P1.																														
																														
ID_Prueba	Fase	Perfil	Prioridad	Artifact_Publico	Modo	Fuente	TEC	MITRE	Táctica	Objetivo_Prueba	Configuración	Pasos_Validacion	Resultado	Regla_Evento	Severity	MITRE_Detectado	Evidencia	FP_Risk	Custom_Necesario	Estado	Fecha	Captura_Log	Observaciones	Visibilidad	Detección_Regla	Alerta_RT	Artifact_Alertante	Salida_Externa	Veredicto_Alertabilidad	Resultado_Campaña
PUB-011	F1 Built-in básico	P4/P2	Obligatorio	Windows.Sysinternals.SysmonLogForward	CLIENT_EVENT	Sysmon Operational	TEC-001	T1059.001	Execution	Comprobar reenvío de Sysmon ID 1	Sysmon activo + LogForward	Ejecutar técnica y revisar eventos Sysmon reenviados	113 filas TEC / 24 FP; IDs 1,3,11,12,13					Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\03_SysmonLogForward\Windows.Sysinternals.SysmonLogForward_REAL.json	Reenvío/forense; sin lógica adicional de detección.	Sí	No	No	N/A	No	VISIBILIDAD / FORENSE	POSITIVO
PUB-012	F1 Built-in básico	P4/P2	Obligatorio	Windows.Sysinternals.SysmonLogForward	CLIENT_EVENT	Sysmon Operational	TEC-004	T1547.001	Persistence	Comprobar reenvío de Sysmon 12/13/14	Sysmon activo + LogForward	Ejecutar técnica y revisar eventos Sysmon reenviados	113 filas TEC / 24 FP; IDs 1,3,11,12,13					Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\03_SysmonLogForward\Windows.Sysinternals.SysmonLogForward_REAL.json	Reenvío/forense; sin lógica adicional de detección.	Sí	No	No	N/A	No	VISIBILIDAD / FORENSE	POSITIVO
PUB-013	F1 Built-in básico	P4/P2	Obligatorio	Windows.Sysinternals.SysmonLogForward	CLIENT_EVENT	Sysmon Operational	TEC-007	T1486	Impact	Comprobar reenvío de Sysmon ID 11	Sysmon activo + LogForward	Ejecutar técnica y revisar eventos Sysmon reenviados	113 filas TEC / 24 FP; IDs 1,3,11,12,13					Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\03_SysmonLogForward\Windows.Sysinternals.SysmonLogForward_REAL.json	Reenvío/forense; sin lógica adicional de detección.	Sí	No	No	N/A	No	VISIBILIDAD / FORENSE	POSITIVO
PUB-014	F1 Built-in básico	P4/P2	Obligatorio	Windows.Sysinternals.SysmonLogForward	CLIENT_EVENT	Sysmon Operational	TEC-008	T1485	Impact	Comprobar reenvío de Sysmon ID 26	Sysmon activo + LogForward	Ejecutar técnica y revisar eventos Sysmon reenviados	113 filas TEC / 24 FP; IDs 1,3,11,12,13					Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\03_SysmonLogForward\Windows.Sysinternals.SysmonLogForward_REAL.json	Reenvío/forense; sin lógica adicional de detección.	Sí	No	No	N/A	No	VISIBILIDAD / FORENSE	POSITIVO
PUB-015	F1 Built-in básico	P4/P2	Obligatorio	Windows.Sysinternals.SysmonLogForward	CLIENT_EVENT	Sysmon Operational	TEC-009	T1074.001/T1560.001	Collection	Comprobar reenvío de Sysmon ID 11/3/22	Sysmon activo + LogForward	Ejecutar técnica y revisar eventos Sysmon reenviados	113 filas TEC / 24 FP; IDs 1,3,11,12,13					Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\03_SysmonLogForward\Windows.Sysinternals.SysmonLogForward_REAL.json	Reenvío/forense; sin lógica adicional de detección.	Sí	No	No	N/A	No	VISIBILIDAD / FORENSE	POSITIVO
PUB-016	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-001	T1059.001	Execution	Evaluar regla pública para PowerShell	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-017	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-002	T1059.003	Execution	Evaluar regla pública para CMD	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-018	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-003	T1053.005	Execution/Persistence	Evaluar regla pública para Scheduled Task	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-019	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-004	T1547.001	Persistence	Evaluar regla pública para Run Keys	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-020	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-005	T1569.002	Execution	Evaluar regla pública para Service Execution	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-021	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-006	T1518.001	Discovery	Evaluar regla pública para Security Discovery	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-022	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-007	T1486	Impact	Evaluar regla pública para Ransomware-like crypto	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-023	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-008	T1485	Impact	Evaluar regla pública para Data Destruction	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-024	F2 Hayabusa histórico	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-009	T1074.001/T1560.001	Collection	Evaluar regla pública para Staging/Archive	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	Histórico conservado; no forma parte de la campaña RT 12/07					Alto	No evaluable	FUERA DE CAMPAÑA				Sí histórico	Parcial	No	N/A	No	HUNT HISTÓRICO	FUERA DE CAMPAÑA
PUB-025	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-001	T1059.001	Execution	Evaluar regla pública para PowerShell	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-026	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-002	T1059.003	Execution	Evaluar regla pública para CMD	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-027	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-003	T1053.005	Execution/Persistence	Evaluar regla pública para Scheduled Task	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-028	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-004	T1547.001	Persistence	Evaluar regla pública para Run Keys	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-029	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-005	T1569.002	Execution	Evaluar regla pública para Service Execution	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-030	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-006	T1518.001	Discovery	Evaluar regla pública para Security Discovery	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-031	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-007	T1486	Impact	Evaluar regla pública para Ransomware-like crypto	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-032	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-008	T1485	Impact	Evaluar regla pública para Data Destruction	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-033	F2 Hayabusa histórico ampliado	P3 Medium	Obligatorio	Windows.Hayabusa.Rules	Hunt histórico	EVTX/Sigma/Hayabusa	TEC-009	T1074.001/T1560.001	Collection	Evaluar regla pública para Staging/Archive	RuleLevel=Critical,High,Medium; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	NO EJECUTADA; no se añaden resultados Medium					Indeterminado	No evaluable	NO EJECUTADO				N/A	N/A	N/A	N/A	N/A	SIN CAMPAÑA CHM	NO EJECUTADO
PUB-034	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-001	T1059.001	Execution	Evaluar regla pública para PowerShell	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	2 high; detectado CH		high			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	Sí CH	Sí CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-035	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-002	T1059.003	Execution	Evaluar regla pública para CMD	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	0 high/critical específicos; niveles inferiores observados no forman campaña separada		N/A CH			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	No CH	No CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-036	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-003	T1053.005	Execution/Persistence	Evaluar regla pública para Scheduled Task	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	1 high; detectado CH		high			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	Sí CH	Sí CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-037	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-004	T1547.001	Persistence	Evaluar regla pública para Run Keys	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	0 high/critical específicos; niveles inferiores observados no forman campaña separada		N/A CH			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	No CH	No CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-038	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-005	T1569.002	Execution	Evaluar regla pública para Service Execution	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	4 high en ventana; 3 atribuibles semánticamente al servicio		high			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	Sí CH	Sí CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-039	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-006	T1518.001	Discovery	Evaluar regla pública para Security Discovery	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	0 high/critical específicos; niveles inferiores observados no forman campaña separada		N/A CH			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	No CH	No CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-040	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-007	T1486	Impact	Evaluar regla pública para Ransomware-like crypto	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	0 high/critical específicos; niveles inferiores observados no forman campaña separada		N/A CH			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	No CH	No CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-041	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-008	T1485	Impact	Evaluar regla pública para Data Destruction	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	0 high/critical específicos; niveles inferiores observados no forman campaña separada		N/A CH			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	No CH	No CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
PUB-042	F2 Hayabusa monitoring	P3 Medium	Obligatorio	Windows.Hayabusa.Monitoring	CLIENT_EVENT	EVTX/Sigma/Hayabusa	TEC-009	T1074.001/T1560.001	Collection	Evaluar regla pública para Staging/Archive	RuleLevel=Critical,High; RuleStatus=Stable	Ejecutar técnica; lanzar/observar artifact; registrar RuleTitle, Level, MITRE	0 high/critical específicos; niveles inferiores observados no forman campaña separada		N/A CH			Alto	Parcial	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json	TEC: 185 matches canónicos/187 filas raw; high=7, critical=0. FP: 4 high, 1 caso.	Sí	No CH	No CH	Windows.Hayabusa.Monitoring	No confirmada	DETECCIÓN SIGMA CH	POSITIVO
