"severity","file","sheet","cell_or_range","issue","evidence","proposed_fix","auto_fixable"
"MAJOR","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","RESUMEN_EJECUTIVO / METRICAS / GRAFICAS","B7,B16:B19; METRICAS B4:B11; GRAFICAS B21:B24","Los porcentajes usan formato Estándar: se muestran como 1 o 0,333333333333, no como 100 % o 33,33 %.","NumberFormatLocal=Estándar en las celdas revisadas.","Aplicar formato 0,00 % y mantener los valores base entre 0 y 1; ajustar también el eje del gráfico Cobertura vs tasas FP.","true"
"MAJOR","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","METRICAS / CONCLUSIONES","METRICAS B10:B11; CONCLUSIONES A4,A8","Precisión/fiabilidad crítica del 100 % se apoya en TP_críticos=9 de contexto y una única campaña FP pequeña. No se documenta una unidad de análisis homogénea ni intervalo de confianza.","METRICAS nota TP_criticos=9; no existe agregado local exacto enlazado; las propias limitaciones reconocen muestra pequeña y contexto confirmado.","Renombrar a tasa observada en esta muestra; definir TP/FP por evento o por técnica, enlazar el agregado y evitar presentarlo como fiabilidad general.","false"
"MAJOR","02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx","PROCESS_ROLES / RAW_SAMPLES","PROCESS_ROLES A2:K698; RAW_SAMPLES A2:N261","Todas las filas de detalle se almacenan como texto, incluidos PID, CPU, RAM, elapsed y booleanos. Los decimales con coma no son valores numéricos Excel.","PROCESS_ROLES: 7.678 celdas String; RAW_SAMPLES: 3.654 celdas String. En origen los campos son parseables, pero en el libro no se tiparon.","En copia revisada, convertir columnas numéricas a números, timestamps a fecha/hora y RunnerActive a booleano; conservar la hoja raw original si se requiere inmutabilidad.","true"
"MAJOR","03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx","01_Dashboard / 16_Scripts_Validados / 17_Incoherencias_Cerradas","A1:J13; A5:E11; A5:D14","El libro histórico usa títulos como definitivo/estado final y describe TEC-009 sin transferencia real, P1 Critical Correlation y acciones antiguas. Contradice el estado vigente aunque el nombre externo diga REFERENCIA.","Libro fechado 15/05/2026; proyecto vigente documenta HTTP ZIP real, P1 Critical Priority y EVENT/SOC_v3.","Moverlo a anexo histórico o añadir portada visible NO VIGENTE / REFERENCIA HISTÓRICA y remitir al Excel 01.","false"
"MAJOR","04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx","01_Dashboard / 02_Control_Pruebas / 03_Matriz_TEC / 07_Benignas_FP","B5:B13; P5:AF51; D4:M12; E5:K19","Es una plantilla no ejecutada: 47/47 pruebas públicas pendientes, 0 completadas y 15 benignas pendientes. No es un resultado definitivo.","Fórmulas del Dashboard y estados Pendiente en todas las filas.","Mantener solo como anexo metodológico claramente rotulado PLANTILLA/PLAN NO EJECUTADO o retirarlo del paquete de resultados definitivos.","false"
"MAJOR","MANIFEST_ENTREGA_MEMORIA.csv","(CSV)","Fila MANIFEST_ENTREGA_MEMORIA.csv y fila SHA256SUMS_ENTREGA_MEMORIA.txt","El manifiesto está desactualizado respecto a sí mismo y al fichero de hashes: registra MANIFEST con 0 bytes y SHA256SUMS con 5.087 bytes, cuando son 4.593 y 5.673 bytes.","Comparación con Get-Item actual.","Regenerar el manifiesto excluyendo el propio manifiesto y el fichero de hashes, o generarlos en orden y documentar la exclusión.","true"
"MAJOR","SHA256SUMS_ENTREGA_MEMORIA.txt","(texto)","Última línea","El fichero incluye un hash de sí mismo que no coincide con su contenido final; una suma autocontenida no puede estabilizarse.","Esperado A5DA40...; SHA256 real 624CFE01563FCD3B5B3A9AC785B0BFD86AD5F4EB7BF333A2221F42C5A489B730. Los otros 29 hashes sí coinciden.","Excluir SHA256SUMS_ENTREGA_MEMORIA.txt de su propia lista y regenerar el resto.","true"
"MAJOR","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","TRAZABILIDAD","A4:E14","La trazabilidad usa la campaña v5 de 16/06 y no identifica los dos summaries más recientes de 18/06, aunque el criterio de auditoría exige priorizar la evidencia posterior o justificar por qué es auxiliar.","05_LOGS/BENCHMARKS/TFM_TEC_Run_CANDIDATE_v5_20260618_192456/192553_summary.csv: 9 OK y uploads con hashes 7AF618.../86B416....","Declarar explícitamente la campaña oficial. Si se mantiene 16/06, justificar y separar las ejecuciones del 18/06 como auxiliares; si se adopta la última, recalcular todo.","false"
"MINOR","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx / 02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx","Hojas de detalle","Rangos usados","Los rangos de datos no están definidos como tablas Excel, aunque sí hay freeze panes y filtros en el libro 02.","ListObjects=0 en los libros 01 y 02.","Convertir los rangos de detalle en tablas con nombres únicos y filtros, sin alterar datos.","true"
"MINOR","03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx","00_Guia..10_Gaps_Custom_P1P4","UsedRange A1:Z200 / A1:AE200","Muchas hojas tienen UsedRange inflado hasta fila 200 y columna Z/AE pese a contener pocas celdas, lo que perjudica impresión y navegación.","Metadatos Excel COM de las primeras 12 hojas.","Limpiar formato sobrante en una copia y definir áreas de impresión.","true"
"MINOR","fuentes_analisis/*","Todas","Archivos completos","Hay duplicados byte a byte: el libro 03 aparece tres veces y el libro 04 dos veces.","Hash 653133D7... en 03/V4_ORIGINAL/DEF_ORIGINAL; hash CD1C04BA... en 04/Artifacts_Publicos_ORIGINAL.","Conservar una sola copia por hash o documentar explícitamente original versus copia de entrega.","true"
"MINOR","00_CONTEXT/TEST_MATRIX.md","N/A","Archivo ausente","La matriz obligatoria indicada por AGENTS.md no existe. La auditoría tuvo que usar CURRENT_TASK, DECISIONS, JSONL y MATRIZ_COBERTURA_FINAL.","Get-Item devuelve ruta inexistente; la ausencia ya estaba anotada en PORCENTAJE_FIABILIDAD_CONTEXT.md.","Crear TEST_MATRIX.md vigente o corregir AGENTS.md para señalar la fuente canónica.","false"
"MINOR","Todos los .xlsx","Todas","Revisión visual","Excel abrió los 44 tabs y exportó 44 PDF temporales, pero el entorno no permitió renderizar esos PDF/PNG de forma fiable. Queda revisión visual humana de clipping, colores y paginación.","Excel COM 16.0; exportación 44/44; navegador integrado y Poppler no disponibles; CopyPicture produjo PNG en blanco.","Abrir los cuatro libros en Excel/LibreOffice y revisar cada hoja y gráfico al 100 % de zoom antes de entregar.","false"
"INFO","Todos los .xlsx","Todas","Estructura","No se detectaron #REF!, #VALUE!, #N/A, #DIV/0!, #NAME?, vínculos externos, hojas ocultas, pivotes ni macros.","Inspección Excel COM de 4 libros y 44 hojas.","Sin acción.","false"
"INFO","02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx","SCENARIO_SUMMARY / GRAFICAS","A1:R4; 4 gráficos","Los recuentos de escenario y roles coinciden con los CSV normalizados; los cuatro gráficos usan rangos coherentes.","83/82/95 muestras; roles 520 notepad + 177 server/lab + 0 cliente; series A2:B4, D4:E7, G2:H4 y J2:K4.","Mantener como evidencia de control de calidad, no como benchmark definitivo.","false"
"INFO","TEC-009 evidencia externa","N/A","N/A","Sí existe transferencia real de ZIP controlado; el problema es la ausencia de enlace desde el Excel, no la falta de transferencia.","receiver_log.jsonl + upload_20260616_154943_944765.zip: 6.245 bytes, application/zip, POST /upload, SHA256 F7E58BFDFDADB96949D7BB55DD0DEEECAA00C50F7AF4652CC6E242E870747509.","Incorporar esta trazabilidad al Excel 01.","false"
"INFO","04_ANALISIS_ARTIFACTS_PUBLICOS_REFERENCIA.xlsx","01_Dashboard","Fórmulas y gráficos","Las 43 fórmulas calculan sin error y las dos series de gráficos cubren sus rangos previstos.","FormulaErrorCells=0; series A16:D20 e I13:J16.","Sin acción estructural; solo reclasificar el libro como plantilla histórica/metodológica.","false"
